sys_name	syn	std_name
YBR235W	YBR235W	VHC1
YBR236C	ABD1	ABD1
YBR236C	YBR236C	ABD1
YBR237W	PRP5	PRP5
YBR237W	YBR237W	PRP5
YBR238C	YBR238C	NA
YBR239C	ERT1	ERT1
YBR239C	YBR239C	ERT1
YBR240C	THI2	THI2
YBR240C	YBR240C	THI2
YBR241C	VVS1	VVS1
YBR241C	YBR241C	VVS1
YBR242W	YBR242W	NA
YBR243C	ALG7	ALG7
YBR243C	YBR243C	ALG7
YBR244W	GPX2	GPX2
YBR244W	YBR244W	GPX2
YBR245C	ISW1	ISW1
YBR245C	YBR245C	ISW1
YBR246W	RRT2	RRT2
YBR246W	YBR246W	RRT2
YBR247C	ENP1	ENP1
YBR247C	YBR247C	ENP1
YBR248C	HIS7	HIS7
YBR248C	YBR248C	HIS7
YBR249C	ARO4	ARO4
YBR249C	YBR249C	ARO4
YBR250W	SPO23	SPO23
YBR250W	YBR250W	SPO23
YBR251W	MRPS5	MRPS5
YBR251W	YBR251W	MRPS5
YBR252W	DUT1	DUT1
YBR252W	YBR252W	DUT1
YBR253W	SRB6	SRB6
YBR253W	YBR253W	SRB6
YBR254C	TRS20	TRS20
YBR254C	YBR254C	TRS20
YBR255W	MTC4	MTC4
YBR255W	YBR255W	MTC4
YBR256C	RIB5	RIB5
YBR256C	YBR256C	RIB5
YBR257W	POP4	POP4
YBR257W	YBR257W	POP4
YBR258C	SHG1	SHG1
YBR258C	YBR258C	SHG1
YBR259W	YBR259W	NA
YBR260C	RGD1	RGD1
YBR260C	YBR260C	RGD1
YBR261C	TAE1	TAE1
YBR261C	YBR261C	TAE1
YBR262C	MIC12	MIC12
YBR262C	YBR262C	MIC12
YBR263W	SHM1	SHM1
YBR263W	YBR263W	SHM1
YBR264C	YBR264C	YPT10
YBR264C	YPT10	YPT10
YBR265W	TSC10	TSC10
YBR265W	YBR265W	TSC10
YBR266C	SLM6	SLM6
YBR266C	YBR266C	SLM6
YBR267W	REI1	REI1
YBR267W	YBR267W	REI1
YBR268W	MRPL37	MRPL37
YBR268W	YBR268W	MRPL37
YBR269C	SDH8	SDH8
YBR269C	YBR269C	SDH8
YBR270C	BIT2	BIT2
YBR270C	YBR270C	BIT2
YBR271W	EFM2	EFM2
YBR271W	YBR271W	EFM2
YBR272C	HSM3	HSM3
YBR272C	YBR272C	HSM3
YBR273C	UBX7	UBX7
YBR273C	YBR273C	UBX7
YBR274W	CHK1	CHK1
